"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-05","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4235.4","","","","1"
"2024-06","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4296.1","","","","1"
"2024-07","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4353.8","","","","1"
"2024-08","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4353.0","","","","1"
"2024-09","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4253.0","","","","1"
"2024-10","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4246.0","","","","1"
"2024-11","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4179.4","","","","1"
"2024-12","Canada","2021A000011124","Employment","Goods-producing sector","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710134","1.2.2.1.1","4141.5","","","","1"
"2019-01","Canada","2021A000011124","Employment","Agriculture [111-112, 1100, 1151-1152]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710135","1.2.3.1.1","266.7","","","","1"
"2019-02","Canada","2021A000011124","Employment","Agriculture [111-112, 1100, 1151-1152]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710135","1.2.3.1.1","267.6","","","","1"
"2019-03","Canada","2021A000011124","Employment","Agriculture [111-112, 1100, 1151-1152]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710135","1.2.3.1.1","268.7","","","","1"
"2019-04","Canada","2021A000011124","Employment","Agriculture [111-112, 1100, 1151-1152]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710135","1.2.3.1.1","286.5","","","","1"
"2019-05","Canada","2021A000011124","Employment","Agriculture [111-112, 1100, 1151-1152]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710135","1.2.3.1.1","308.4","","","","1"
"2019-06","Canada","2021A000011124","Employment","Agriculture [111-112, 1100, 1151-1152]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710135","1.2.3.1.1","310.0","","","","1"
"2019-07","Canada","2021A000011124","Employment","Agriculture [111-112, 1100, 1151-1152]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710135","1.2.3.1.1","313.2","","","","1"
"2019-08","Canada","2021A000011124","Employment","Agriculture [111-112, 1100, 1151-1152]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710135","1.2.3.1.1","316.2","","","","1"
"2019-09","Canada","2021A000011124","Employment","Agriculture [111-112, 1100, 1151-1152]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710135","1.2.3.1.1","309.8","","","","1"
"2019-10","Canada","2021A000011124","Employment","Agriculture [111-112, 1100, 1151-1152]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710135","1.2.3.1.1","302.5","","","","1"
"2019-11","Canada","2021A000011124","Employment","Agriculture [111-112, 1100, 1151-1152]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710135","1.2.3.1.1","295.6","","","","1"
"2019-12","Canada","2021A000011124","Employment","Agriculture [111-112, 1100, 1151-1152]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710135","1.2.3.1.1","279.8","","","","1"
"2020-01","Canada","2021A000011124","Employment","Agriculture [111-112, 1100, 1151-1152]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2710135","1.2.3.1.1","276.2","","","","1"
